arxiv_id	first_public_date	title	candidate_state	screening_reason	owner_node	review_status	books_disposition
2604.21183	2026-04-23	3-Designs from $\mathrm{GL}_2(\mathbb{F}_q)$-Invariant Subspaces of $\mathbb F_q[X,Y]_k$	pre-denominator closure	exact-v1 title+abstract 重放确认：`3-Designs from $\mathrm{GL}_2(\mathbb{F}_q)$-Invariant Subspaces of $\mathbb F_q[X,Y]_k$` 的公开机制为“We present a uniform framework for constructing \(3\)-designs from \(\mathrm{GL}_2(\mathbb F_q)\)-invariant subspaces of \(\mathbb F_q[X,Y]_k\), the space of homogeneous polynomials of degree \(k\). Given such a subspace \(W\), we associate a \(\mathrm{PGL}_2(\mathbb F_q)\)-invariant family of \(k\)-subsets of \(\mathbb P^1(\mathbb F_q)\). Whenever this family is nonempty, it forms a \(3\text{-}(q+1,k,\lambda)\) desi”。该 delta 仍是任务特定方法、局部模型改进、单域 benchmark 或分析结果；没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论，因此保持 pre-denominator closure。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21184	2026-04-23	Predicting the thermodynamics in the chromosphere from the translation of SDO data into the IRIS$^{2}$ inversion results using a visual transformer model	pre-denominator closure	逐项 title+abstract 复核确认：`Predicting the thermodynamics in the chromosphere from the translation of SDO data into the IRIS$^{2}$ inversion results using a visual transformer model` 处理的具体问题是“We present SDO2IRIS$^2$: a visual transformer model that translates a combination of images of the chromosphere and transition region (TR), observed by AIA, and a line-of-sight magnetogram, provided by HMI, into temperature, line-of-sight velocity (v$_{los}$), velocity of the turbulent motions (v$_{turb}$), and electron density (n$_{e}$) in the chromosphere. Using the thermodynamic variables obtained from the inversi”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21185	2026-04-23	Analysis of the sine-Gordon equation with a nonlinear $δ$-potential	pre-denominator closure	逐项 title+abstract 复核确认：`Analysis of the sine-Gordon equation with a nonlinear $δ$-potential` 处理的具体问题是“This paper is devoted to the analysis of the following nonlinear wave equation \[ u_{tt} - u_{xx} + (1 + qδ_0(x)) \sin u = 0, \] where $δ_0 = δ_0(x)$ is the Dirac delta function centered at the origin and $q \in \mathbb{R}$ is a constant. Equations of this form arise in the study of propagating solitons in the presence of a localized inhomogeneity. It is proved that the Cauchy problem for this equation is globally we”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21186	2026-04-23	Nanoscale Fluorescence Thermometry: Probes, Recent Advances and Emerging Directions	pre-denominator closure	逐项 title+abstract 复核确认：`Nanoscale Fluorescence Thermometry: Probes, Recent Advances and Emerging Directions` 处理的具体问题是“The transition of materials and devices to nanometer, atomic, and quantum scales makes thermal characterization increasingly challenging, driving the need for advanced nanoscale thermometry. Fluorescence nanothermometry has emerged as a powerful approach, enabling remote, spatially resolved temperature measurements with sub-micrometer-to-nanometer precision across applications in nanoelectronics, microfluidics, and b”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21187	2026-04-23	Doubly Saturated Ramsey Graphs: A Case Study in Computer-Assisted Mathematical Discovery	pre-denominator closure	逐项 title+abstract 复核确认：`Doubly Saturated Ramsey Graphs: A Case Study in Computer-Assisted Mathematical Discovery` 处理的具体问题是“Ramsey-good graphs are graphs that contain neither a clique of size $s$ nor an independent set of size $t$. We study doubly saturated Ramsey-good graphs, defined as Ramsey-good graphs in which the addition or removal of any edge necessarily creates an $s$-clique or a $t$-independent set. We present a method combining SAT solving with bespoke LLM-generated code to discover infinite families of such graphs, answering a”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21188	2026-04-23	Physically Unclonable Functions for Secure IoT Authentication and Hardware-Anchored AI Model Integrity	pre-denominator closure	逐项 title+abstract 复核确认：`Physically Unclonable Functions for Secure IoT Authentication and Hardware-Anchored AI Model Integrity` 处理的具体问题是“The rapid integration of artificial intelligence (AI) into Internet of Things (IoT) and edge computing systems has intensified the need for robust, hardware-rooted trust mechanisms capable of ensuring device authenticity and AI model integrity under strict resource and security constraints. This survey reviews and synthesizes existing literature on hardware-rooted trust mechanisms for AI-enabled IoT systems. It syste”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21189	2026-04-23	Full-Body Dynamic Safety for Robot Manipulators: 3D Poisson Safety Functions for CBF-Based Safety Filters	pre-denominator closure	逐项 title+abstract 复核确认：`Full-Body Dynamic Safety for Robot Manipulators: 3D Poisson Safety Functions for CBF-Based Safety Filters` 处理的具体问题是“Collision avoidance for robotic manipulators requires enforcing full-body safety constraints in high-dimensional configuration spaces. Control Barrier Function (CBF) based safety filters have proven effective in enabling safe behaviors, but enforcing the high number of constraints needed for safe manipulation leads to theoretic and computational challenges. This work presents a framework for full-body collision avoid”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21190	2026-04-23	SpatiO: Adaptive Test-Time Orchestration of Vision-Language Agents for Spatial Reasoning	pre-denominator closure	exact-v1 title+abstract 重放确认：`SpatiO: Adaptive Test-Time Orchestration of Vision-Language Agents for Spatial Reasoning` 的公开机制为“Understanding visual scenes requires not only recognizing objects but also reasoning about their spatial relationships. Unlike general vision-language tasks, spatial reasoning requires integrating multiple inductive biases, such as 2D appearance cues, depth signals, and geometric constraints, whose reliability varies across contexts. This suggests that effective spatial reasoning requires \emph{spatial adaptability}:”。该 delta 仍是任务特定方法、局部模型改进、单域 benchmark 或分析结果；没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论，因此保持 pre-denominator closure。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21191	2026-04-23	Prefix Parsing is Just Parsing	pre-denominator closure	逐项 title+abstract 复核确认：`Prefix Parsing is Just Parsing` 处理的具体问题是“Prefix parsing asks whether an input prefix can be extended to a complete string generated by a given grammar. In the weighted setting, it also provides prefix probabilities, which are central to context-free language modeling, psycholinguistic analysis, and syntactically constrained generation from large language models. We introduce the prefix grammar transformation, an efficient reduction of prefix parsing to ordi”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21192	2026-04-23	How VLAs (Really) Work In Open-World Environments	retained	Vision-language-action models (VLAs) have been extensively used in robotics applications, achieving great success in various manipulation problems.  改变 `MULTIMODAL-EMBODIED-VLA` 的长期机制、state/control ownership 或 evaluation contract；fresh-context reviewer 已以 exact-v1 复核。	MULTIMODAL-EMBODIED-VLA	deep_complete	No Change — Existing Coverage
2604.21193	2026-04-23	Trust but Verify: Introducing DAVinCI -- A Framework for Dual Attribution and Verification in Claim Inference for Language Models	retained	Large Language Models (LLMs) have demonstrated remarkable fluency and versatility across a wide range of NLP tasks, yet they remain prone to factual inaccuracies and hallucinations.  改变 `AGENT-RAG` 的长期机制、state/control ownership 或 evaluation contract；fresh-context reviewer 已以 exact-v1 复核。	AGENT-RAG	deep_complete	No Change — Existing Coverage
2604.21194	2026-04-23	Linking molecular timescales to linear viscoelastic response in dilute and semidilute unentangled wormlike micelle solutions	pre-denominator closure	逐项 title+abstract 复核确认：`Linking molecular timescales to linear viscoelastic response in dilute and semidilute unentangled wormlike micelle solutions` 处理的具体问题是“Unentangled wormlike micelle solutions relax stress through a dynamic interplay of reversible scission and intrachain relaxation involving a hierarchy of molecular timescales whose relationship to linear viscoelastic response remains incompletely resolved. A multiparticle mesoscopic Brownian dynamics framework has been developed in which persistent worms, represented by bead-spring chains with sticky ends, assemble t”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2604.21195	2026-04-23	Moments and joint nonvanishing of symplectic $L$-functions	pre-denominator closure	逐项 title+abstract 复核确认：`Moments and joint nonvanishing of symplectic $L$-functions` 处理的具体问题是“We compute an asymptotic formula for a moment involving the spinor and the standard $L$-functions for holomorphic Siegel cusp forms of degree two and large weight $k$. Applications include simultaneous non-vanishing statements and lower bounds for second moments.”。其公开 delta 仍是任务特定方法、局部模型改进或单域 benchmark，没有转移可复用的 AI-System state/data/control owner，也没有建立新的 release/evaluation contract 或修正 current Books 结论；若后续 exact revision 披露跨 workload 控制面、failure/fallback 或 owner 冲突，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
