source_family_id	disposition	owner	adjacent	evidence	result
SF-2026-ARXIV-2606-29685	Weekly Only — Context	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29699	No Change — Existing Coverage	books/part-06-ai-infrastructure/67-monitoring.md	books/part-06-ai-infrastructure/66-evaluation-system.md	zero Books hits; re-read owner `books/part-06-ai-infrastructure/67-monitoring.md` and adjacent `books/part-06-ai-infrastructure/66-evaluation-system.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29700	No Change — Existing Coverage	books/part-07-agent/79-planning.md	books/part-07-agent/78-tool-calling.md	zero Books hits; re-read owner `books/part-07-agent/79-planning.md` and adjacent `books/part-07-agent/78-tool-calling.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29708	No Change — Existing Coverage	books/part-05-inference-system/55-pd-disaggregation.md	books/part-05-inference-system/56-inference-scheduling.md	zero Books hits; re-read owner `books/part-05-inference-system/55-pd-disaggregation.md` and adjacent `books/part-05-inference-system/56-inference-scheduling.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29713	No Change — Existing Coverage	books/part-07-agent/80-reflection.md	books/part-07-agent/77-memory.md	zero Books hits; re-read owner `books/part-07-agent/80-reflection.md` and adjacent `books/part-07-agent/77-memory.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29718	No Change — Existing Coverage	books/part-07-agent/75-context.md	books/part-07-agent/77-memory.md	zero Books hits; re-read owner `books/part-07-agent/75-context.md` and adjacent `books/part-07-agent/77-memory.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29719	Weekly Only — Context	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29745	Weekly Only — Context	books/part-07-agent/79-planning.md	books/part-07-agent/78-tool-calling.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-07-agent/79-planning.md` and adjacent `books/part-07-agent/78-tool-calling.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29758	No Change — Existing Coverage	books/part-04-training-system/31-rlhf.md	books/part-04-training-system/33-grpo.md	zero Books hits; re-read owner `books/part-04-training-system/31-rlhf.md` and adjacent `books/part-04-training-system/33-grpo.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29775	Weekly Only — Context	books/part-06-ai-infrastructure/63-gpu-scheduler.md	books/part-05-inference-system/56-inference-scheduling.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/63-gpu-scheduler.md` and adjacent `books/part-05-inference-system/56-inference-scheduling.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29778	No Change — Existing Coverage	books/part-07-agent/77-memory.md	books/part-07-agent/75-context.md	zero Books hits; re-read owner `books/part-07-agent/77-memory.md` and adjacent `books/part-07-agent/75-context.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29784	Weekly Only — Context	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29788	No Change — Existing Coverage	books/part-07-agent/77-memory.md	books/part-07-agent/75-context.md	zero Books hits; re-read owner `books/part-07-agent/77-memory.md` and adjacent `books/part-07-agent/75-context.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29871	Weekly Only — Context	books/part-06-ai-infrastructure/60-training-operator.md	books/part-06-ai-infrastructure/59-model-registry.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/60-training-operator.md` and adjacent `books/part-06-ai-infrastructure/59-model-registry.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29887	Weekly Only — Context	books/part-06-ai-infrastructure/72-security.md	books/part-06-ai-infrastructure/62-gateway.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/72-security.md` and adjacent `books/part-06-ai-infrastructure/62-gateway.md` resolve without creating a Books comparison	PASS
SF-2026-ARXIV-2606-29914	No Change — Existing Coverage	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; re-read owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29920	No Change — Existing Coverage	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; re-read owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` against source-specific delta	PASS
SF-2026-ARXIV-2606-29955	Weekly Only — Context	books/part-06-ai-infrastructure/66-evaluation-system.md	books/part-06-ai-infrastructure/67-monitoring.md	zero Books hits; candidate-level Review Ref re-opened; owner `books/part-06-ai-infrastructure/66-evaluation-system.md` and adjacent `books/part-06-ai-infrastructure/67-monitoring.md` resolve without creating a Books comparison	PASS
