source_family_id	primary_evidence_version	exact_v1_access	method_locator	evaluation_locator	limitation_locator	benchmark_contract	selection_decision	books_disposition	audit_status
SF-2026-ARXIV-2606-21822	arXiv:2606.21822v1	accessible	https://arxiv.org/html/2606.21822v1 — §2 CNnotator Tool Design	https://arxiv.org/html/2606.21822v1 — §3 Benchmark; §4 Results	https://arxiv.org/html/2606.21822v1 — §3 Test set limitations; §4 Failure Modes; §5 Framework Tradeoffs	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21836	arXiv:2606.21836v1	accessible	https://arxiv.org/html/2606.21836v1 — §II Agentic DSE Methodology; §II-C Auditable Optimization Traces	https://arxiv.org/html/2606.21836v1 — §III Experimental Setup; §IV Results	https://arxiv.org/html/2606.21836v1 — §VI Limitations and Future Work	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21842	arXiv:2606.21842v1	accessible	https://arxiv.org/html/2606.21842v1 — §IV Overview; §V SpliceLeak: Semantic Extraction Methodology; §VI SpliceDefense	https://arxiv.org/html/2606.21842v1 — §VII Evaluation; §VII-A Experimental Setup	https://arxiv.org/html/2606.21842v1 — §III Motivation: Limitations of Existing Works; Appendix A Discussion and Future Work	direct_Not_Disclosed_or_source_specific	selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21843	arXiv:2606.21843v1	accessible	https://arxiv.org/html/2606.21843v1 — §3.1 Ada: a persistent AI agent; §3.4 The probe battery	https://arxiv.org/html/2606.21843v1 — §4 Magnitude Baseline; §5.6 Drift experiment	https://arxiv.org/html/2606.21843v1 — §6.3 Limitations — Drift trajectory is a padding artifact	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21848	arXiv:2606.21848v1	accessible	https://arxiv.org/html/2606.21848v1 — §2 Method; §3 Value-only Cache in Autoregressive Inference	https://arxiv.org/html/2606.21848v1 — §5 Experiments	https://arxiv.org/html/2606.21848v1 — §2.2 equivalence conditions; §6 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21854	arXiv:2606.21854v1	accessible	https://arxiv.org/html/2606.21854v1 — §3 ESPnet3 Framework	https://arxiv.org/html/2606.21854v1 — §4 Experiments; §4.1 OWSM Pre-training	https://arxiv.org/html/2606.21854v1 — §5 Conclusion — release and speech/audio workload boundary	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21856	arXiv:2606.21856v1	accessible	https://arxiv.org/html/2606.21856v1 — §3 Harness-MU	https://arxiv.org/html/2606.21856v1 — §4 Experiments; §4.1 Deployment Settings	https://arxiv.org/html/2606.21856v1 — §5 Discussion; §6 Conclusion	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21868	arXiv:2606.21868v1	accessible	https://arxiv.org/html/2606.21868v1 — §3 Working-Set Predictor and Runtime Integration	https://arxiv.org/html/2606.21868v1 — §4 Routing Signal and Decode Throughput; §5 Working-Set Value	https://arxiv.org/html/2606.21868v1 — §6 Limitations; simulated-constrained-device disclosure	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21869	arXiv:2606.21869v1	accessible	https://arxiv.org/html/2606.21869v1 — §3 Preliminaries — Energy Consumption and Measurement; Multilingual Dataset	https://arxiv.org/html/2606.21869v1 — §4 Results and Analysis — Common Setup; §4.1–§4.4; Appendix B Experimental Setups	https://arxiv.org/html/2606.21869v1 — §6 Conclusion; Environmental impact of this study; Translation quality and representation; Recommendations and downstream effects	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21875	arXiv:2606.21875v1	accessible	https://arxiv.org/html/2606.21875v1 — §4 Signed Evidence Decomposition; §5 Support, Opposition, and Conflict; §8 Perturbation Stability; §24 ScopeGate: Conditional Value and a Finite-Sample Deployment Test	https://arxiv.org/html/2606.21875v1 — §15 Sanity Checks on Standard Benchmark Data Sets; §16 Large Real-Data Benchmark; §18 Model-Agnostic Black-Box Robustness; §21 Real Healthcare Benchmarks Beyond Confidence; §23 External Finance Stress Test and Scope Boundary; §25 Independent External Replication	https://arxiv.org/html/2606.21875v1 — §30 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
SF-2026-ARXIV-2606-21877	arXiv:2606.21877v1	accessible	https://arxiv.org/html/2606.21877v1 — §III AgentRiskBOM Design; §IV Implementation	https://arxiv.org/html/2606.21877v1 — §V Evaluation	https://arxiv.org/html/2606.21877v1 — §VII Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21884	arXiv:2606.21884v1	accessible	https://arxiv.org/html/2606.21884v1 — §4 Method: Solver-Grounded Synthetic CoT and the Experiment Ladder	https://arxiv.org/html/2606.21884v1 — §5 Results; §6 Anatomy of the Failures	https://arxiv.org/html/2606.21884v1 — §8.2 Threats to validity; §10 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21891	arXiv:2606.21891v1	accessible	https://arxiv.org/html/2606.21891v1 — §4 ARTS; §4.1 Expanding a Search Tree with Agentic Reasoning	https://arxiv.org/html/2606.21891v1 — §6 Experiments and Analysis; Appendix I Additional Experimental Details	https://arxiv.org/html/2606.21891v1 — §7 Discussion — Limitations and Ethical Concerns	direct_Not_Disclosed_or_source_specific	not_selected	Integrate	passed
SF-2026-ARXIV-2606-21917	arXiv:2606.21917v1	accessible	https://arxiv.org/html/2606.21917v1 — §3 Methodology; §3.2 Target Construction; §3.3 Attention Probing	https://arxiv.org/html/2606.21917v1 — §4 Results and Discussion; §4.1 Experimental Setting	https://arxiv.org/html/2606.21917v1 — §6 Limitations	direct_Not_Disclosed_or_source_specific	not_selected	No Change — Existing Coverage	passed
