source_family_id	exact_v1	method_locator	evaluation_locator	limitation_locator	artifact_locator	benchmark_10_fields	score_total	selection	books_disposition	audit_status
SF-2026-ARXIV-2606-29142	arXiv:2606.29142v1	https://arxiv.org/pdf/2606.29142v1 — §III Threat Model Under Regulatory Constraint; IV Architectural Patterns Observed in Production	https://arxiv.org/pdf/2606.29142v1 — §IV Architectural Patterns Observed in Production; V Negative Results and Open Problems	https://arxiv.org/pdf/2606.29142v1 — §V Negative Results and Open Problems; VI Generalization Beyond Finance	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	9	not_selected	Weekly Only — Context	passed_prewrite
SF-2026-ARXIV-2606-29150	arXiv:2606.29150v1	https://arxiv.org/html/2606.29150v1 — §2.1 The flow reasoning model framework; 2.2 Learning to Self-Refine at Inference Time	https://arxiv.org/html/2606.29150v1 — §4 Experiments; G Experimental setup and hyperparameters	https://arxiv.org/html/2606.29150v1 — §6 Discussion; B Test-time scaling: coverage, selection, and sampling-step baselines	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29151	arXiv:2606.29151v1	https://arxiv.org/html/2606.29151v1 — §2.2 System Architecture; 4 Logical Planner; 5 Physical Planner	https://arxiv.org/html/2606.29151v1 — §7 Experiments; 7.1 Experimental Setup	https://arxiv.org/html/2606.29151v1 — §6.3 Robustness; G Validation Set Noise	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29158	arXiv:2606.29158v1	https://arxiv.org/html/2606.29158v1 — §3 Power Laws for Optimal Learning Rates; 6 Explaining Nonlinear Scaling via Implicit Effective Learning Rate Schedule	https://arxiv.org/html/2606.29158v1 — §4 Experiment Design; 5 Main Results	https://arxiv.org/html/2606.29158v1 — §7 Conclusions and Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29159	arXiv:2606.29159v1	https://arxiv.org/html/2606.29159v1 — §Root-cause-analysis methods on offline benchmarks; reporting-protocol formulation	https://arxiv.org/html/2606.29159v1 — §Benchmark validity and leaderboard instability in ML; system-specific results	https://arxiv.org/html/2606.29159v1 — §6 Discussion, Limitations, and Recommendations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29171	arXiv:2606.29171v1	https://arxiv.org/html/2606.29171v1 — §3 Symbolic Mechanistic Data Attribution Framework; 3.2 Symbolic Policy Model; 3.3 Influence Computation	https://arxiv.org/html/2606.29171v1 — §4 Experimental Setup; 5 Results	https://arxiv.org/html/2606.29171v1 — §6 Discussion; Symbolic model fidelity and scope; First-order approximation	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	Integrate	passed_prewrite
SF-2026-ARXIV-2606-29176	arXiv:2606.29176v1	https://arxiv.org/html/2606.29176v1 — §Dead-Direction Conditioners; matching the gauge to the architecture	https://arxiv.org/html/2606.29176v1 — §5 Experiments; 5.1 Reading the rate at language-model scale	https://arxiv.org/html/2606.29176v1 — §5.10 Scope and limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29178	arXiv:2606.29178v1	https://arxiv.org/html/2606.29178v1 — §3 Method; selective memory retention controller	https://arxiv.org/html/2606.29178v1 — §4 Experiments	https://arxiv.org/html/2606.29178v1 — §6 Discussion and Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29182	arXiv:2606.29182v1	https://arxiv.org/html/2606.29182v1 — §3.1.1 In-Context Memory; continual belief-update mechanism	https://arxiv.org/html/2606.29182v1 — §3.1.2 Evaluation: Reducing Surprisal Under Non-Stationary Beliefs	https://arxiv.org/html/2606.29182v1 — §6 Limitations	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	8	not_selected	No Change — Existing Coverage	passed_prewrite
SF-2026-ARXIV-2606-29184	arXiv:2606.29184v1	https://arxiv.org/html/2606.29184v1 — §IV BaRA: Bayesian Adaptive Rank Allocation	https://arxiv.org/html/2606.29184v1 — §VI Experiments	https://arxiv.org/html/2606.29184v1 — §III-C Limitations of Bayesian LoRA Methods	Not Disclosed — exact-v1 manuscript does not name a separate artifact used for this review	complete	7	not_selected	No Change — Existing Coverage	passed_prewrite
