arxiv_id	first_public_date	title	candidate_state	screening_reason	owner_node	review_status	books_disposition
2603.29112	2026-03-31	GISTBench: Evaluating LLM User Understanding via Evidence-Based Interest Verification	pre-denominator closure	逐项 title+abstract 复核确认：GISTBench: Evaluating LLM User Understanding via Evidence-Based Interest Verification 的具体问题/方法是“We introduce GISTBench, a benchmark for evaluating Large Language Models' (LLMs) ability to understand users from their interaction histories in recommendation systems. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29113	2026-03-31	1.5 Million Messages Per Second on 3 Machines: Benchmarking and Latency Optimization of Apache Pulsar at Enterprise Scale	pre-denominator closure	逐项 title+abstract 复核确认：1.5 Million Messages Per Second on 3 Machines: Benchmarking and Latency Optimization of Apache Pulsar at Enterprise Scale 的具体问题/方法是“This paper presents two independent contributions for Apache Pulsar practitioners. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29114	2026-03-31	Towards Explainable Stakeholder-Aware Requirements Prioritisation in Aged-Care Digital Health	pre-denominator closure	逐项 title+abstract 复核确认：Towards Explainable Stakeholder-Aware Requirements Prioritisation in Aged-Care Digital Health 的具体问题/方法是“Requirements engineering for aged-care digital health must account for human aspects, because requirement priorities are shaped not only by technical functionality but also by stakeholders' health conditions, socioeconomics, and lived experience. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29115	2026-03-31	Schrödinger's Seed: Purr-fect Initialization for an Impurr-fect Universe	pre-denominator closure	逐项 title+abstract 复核确认：Schrödinger's Seed: Purr-fect Initialization for an Impurr-fect Universe 的具体问题/方法是“Context. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29117	2026-03-31	Predictor-Based Output-Feedback Control of Linear Systems with Time-Varying Input and Measurement Delays via Neural-Approximated Prediction Horizons	pre-denominator closure	逐项 title+abstract 复核确认：Predictor-Based Output-Feedback Control of Linear Systems with Time-Varying Input and Measurement Delays via Neural-Approximated Prediction Horizons 的具体问题/方法是“Due to simplicity and strong stability guarantees, predictor feedback methods have stood as a popular approach for time delay systems since the 1950s. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29118	2026-03-31	"""I Just Need GPT to Refine My Prompts"": Rethinking Onboarding and Help-Seeking with Generative 3D Modeling Tools"	pre-denominator closure	"逐项 title+abstract 复核确认：""I Just Need GPT to Refine My Prompts"": Rethinking Onboarding and Help-Seeking with Generative 3D Modeling Tools 的具体问题/方法是“Learning to use feature-rich software is a persistent challenge, but generative AI tools promise to lower this barrier by replacing complex navigation with natural language prompts. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。"	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29119	2026-03-31	Sampling-Horizon Neural Operator Predictors for Nonlinear Control under Delayed Inputs	pre-denominator closure	逐项 title+abstract 复核确认：Sampling-Horizon Neural Operator Predictors for Nonlinear Control under Delayed Inputs 的具体问题/方法是“Modern control systems frequently operate under input delays and sampled state measurements. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29121	2026-03-31	Economics of Human and AI Collaboration: When is Partial Automation More Attractive than Full Automation?	pre-denominator closure	逐项 title+abstract 复核确认：Economics of Human and AI Collaboration: When is Partial Automation More Attractive than Full Automation? 的具体问题/方法是“This paper develops a unified framework for evaluating the optimal degree of task automation. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
2603.29122	2026-03-31	ReLog: Execution-Aware Logging with Runtime Feedback for LLM-Oriented Debugging	retained	Logging statements are essential for software debugging and maintenance.  改变 `PLATFORM-TRACE` 的长期机制、state/control ownership 或 evaluation contract；fresh-context reviewer 已以 exact-v1 复核。	PLATFORM-TRACE	deep_complete	No Change — Existing Coverage
2603.29123	2026-03-31	Learning Concepts, Not Tokens: Self-Supervised Semantic Alignment for Language Models	pre-denominator closure	逐项 title+abstract 复核确认：Learning Concepts, Not Tokens: Self-Supervised Semantic Alignment for Language Models 的具体问题/方法是“The next-token prediction (NTP) objective trains language models to predict a single token at each step, even though many continuations can express the same meaning. ”。当前公开范围仍是任务特定方法、单领域应用或局部 benchmark 增量，没有改变可迁移的 AI System state/data/control ownership、evaluation/release contract 或 Books 既有成立边界；若后续 exact revision 披露跨 workload 控制面、系统级 failure/fallback 或修正现有 owner 结论，再重开。	—	not_required_pre_denominator	Rejected — Local method / domain evidence
