arxiv_id	source_family_id	title	status	reason	review_status	access_status	owner	disposition
2606.06501	SF-2026-ARXIV-2606-06501	Enhancing Malware Detection with Generative AI: Using Variational Autoencoders to Boost Machine Learning Classifiers' Performance	pre_denominator_closure	`Enhancing Malware Detection with Generative AI: Using Variational Autoencoders to Boost Machine Learning Classifiers' Performance` 针对 The advancement of malware poses obstacles for cybersecurity, necessitating the development of advanced detection techniques.；摘要证据边界为 The results demonstrate a notable improvement in the accuracy, precision, recall and F1-scores of the classifiers, when they are trained using the augmented datasets.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17212	SF-2026-ARXIV-2605-17212	Anytime PAC-Bayes for Constrained Density-Ratio Networks under Covariate Shift	pre_denominator_closure	`Anytime PAC-Bayes for Constrained Density-Ratio Networks under Covariate Shift` 针对 A unified framework for learning under covariate shift is presented, in which a constrained density-ratio network approximates the Radon-Nikodym derivative $r^\star = dP/dQ$ and feeds an anytime PAC-Bayes generalization certificate.；摘要证据边界为 A single fixed-time coverage failure is recorded, with per-split coverage aligning one-to-one with the magnitude of the label shift, confirming that the covariate-only assumption is operationally tight rather than a defect of the certificate.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17214	SF-2026-ARXIV-2605-17214	ChemVA: Advancing Large Language Models on Chemical Reaction Diagrams Understanding	pre_denominator_closure	`ChemVA: Advancing Large Language Models on Chemical Reaction Diagrams Understanding` 针对 We identify two fundamental bottlenecks restricting current systems: a Visual Deficit, where generic vision encoders struggle to resolve the strict topological connectivity of dense molecular graphs, and a Semantic Disconnect, where standard linear strings, such as SMILES, fail to effectively activate the model's latent…；摘要证据边界为 Extensive experiments on OCRD-Bench demonstrate that ChemVA achieves 92.0% structural recognition accuracy.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17217	SF-2026-ARXIV-2605-17217	Toward Near-Real-Time Marine Oil Spill Detection in SAR Imagery using Quantum-Assisted SVM	pre_denominator_closure	`Toward Near-Real-Time Marine Oil Spill Detection in SAR Imagery using Quantum-Assisted SVM` 针对 Marine oil spills require rapid detection to mitigate severe ecological and economic damage.；摘要证据边界为 These results establish the feasibility of quantum-assisted, segmentation pipelines for near-real-time environmental monitoring.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17219	SF-2026-ARXIV-2605-17219	Integration of AI in Cybersecurity: Current Trends with a Focused Look at Intrusion Detection Applications	pre_denominator_closure	`Integration of AI in Cybersecurity: Current Trends with a Focused Look at Intrusion Detection Applications` 针对 Artificial Intelligence (AI) is widely adopted today for its ability to detect patterns, automate tasks, and reduce time and cost across various applications.；摘要证据边界为 This paper presents an interesting review of current AI-based cybersecurity trends, focusing on intrusion detection approaches and aiming to uncover meaningful insights through comparative analysis based on the employed AI techniques and reported performance.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17222	SF-2026-ARXIV-2605-17222	Triple-Hoisted Baby-Step Giant-Step Linear Transformation over CKKS Homomorphic Encryption and Hardware Accelerator	retained	CKKS 线性变换把 rotation 数量、off-chip traffic 与 FPGA permutation/data-path 共同暴露为隐私推理的硬件执行合同；收益不等于通用 GPU/模型加速。	deep_complete	accessible	PLATFORM-SECURITY	No Change — Existing Coverage
2605.17225	SF-2026-ARXIV-2605-17225	Can Large Audio Language Models Ignore Multilingual Distractors? An Evaluation of Their Selective Auditory Attention Capabilities	pre_denominator_closure	`Can Large Audio Language Models Ignore Multilingual Distractors? An Evaluation of Their Selective Auditory Attention Capabilities` 针对 We introduce MUSA, a cocktail party-inspired multilingual benchmark for source-grounded spoken-language understanding and reasoning.；摘要证据边界为 Evaluating two closed-source and four open-weight LALMs, we find that strong single performance does not ensure robust selective auditory attention: cocktail party accuracy degrades under severe SNRs, and errors are dominated by distractor-grounded source…。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17228	SF-2026-ARXIV-2605-17228	Artificial Intolerance: Stigmatizing Language in Clinical Documentation Skews Large Language Model Decision-Making	pre_denominator_closure	`Artificial Intolerance: Stigmatizing Language in Clinical Documentation Skews Large Language Model Decision-Making` 针对 In this work, we investigate whether frontier LLMs inherit and propagate this human bias when processing clinical text.；摘要证据边界为 Our results demonstrate that all evaluated models exhibit substantial bias, with clinical decision-making significantly skewed towards less aggressive patient management.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17229	SF-2026-ARXIV-2605-17229	Generating Realistic Safety-Critical Scenarios for Vehicle-Pedestrian Interactions	pre_denominator_closure	`Generating Realistic Safety-Critical Scenarios for Vehicle-Pedestrian Interactions` 针对 In response, this study proposes a three-stage framework that combines real-world grounding with adaptive simulation to generate behaviorally realistic safety-critical scenarios at scale.；摘要证据边界为 These results demonstrate the framework's effectiveness in producing high-fidelity safety-critical data, offering valuable sources for the development of ADS and simulation-based safety evaluations.。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
2605.17230	SF-2026-ARXIV-2605-17230	Maximum Likelihood Decoding of Quantum Error Correction Codes	pre_denominator_closure	`Maximum Likelihood Decoding of Quantum Error Correction Codes` 针对 Quantum error correction (QEC) is indispensable for realizing fault-tolerant quantum computation, yet its effectiveness hinges critically on the classical decoding algorithm that interprets noisy syndrome measurements.；摘要证据边界为 We discuss the connections among these three approaches, review their application to both simulated and experimental quantum hardware, and outline open challenges including real-time decoding, scalability to large code distances, and generalization to high-rate…。逐项语义复核后，变化仍属于该 family 的单一任务、局部模型/优化器、专用数据集或 evaluator，未重新分配长期 state/data/control owner，也未改变跨层 SLO、release/evidence contract、恢复责任或旧方案共存条件，因此在 Candidate Denominator 前闭合。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator
