source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-24046	2606.24046	core_daily_semantic_review_required	Rapid FinFET Modelling Using an Autoencoder	This work presents a machine learning framework that leverages an autoencoder (AE) for the efficient modeling of FinFET.	closed_pre_denominator	benchmark_only	—	`Rapid FinFET Modelling Using an Autoencoder`：This work presents a machine learning framework that leverages an autoencoder (AE) for the efficient modeling of FinFET.；新增数据集或榜单但未改变通用 evaluation/release gate、failure authority 或平台 owner。
SF-2026-ARXIV-2606-24047	2606.24047	core_daily_semantic_review_required	Ensemble Feature Selection and Harris Hawks Optimization for Explainable Mental Health Risk Prediction in Female Sex Workers	One of the significant mental health issues affecting female sex workers (FSWs) is mental disorders, especially depression.	closed_pre_denominator	task_model_local	—	`Ensemble Feature Selection and Harris Hawks Optimization for Explainable Mental Health Risk Prediction in Female Sex Workers`：One of the significant mental health issues affecting female sex workers (FSWs) is mental disorders, especially depression.；贡献主要是单一预测/识别任务的模型或指标改进，不是长期 AI-System mechanism。
SF-2026-ARXIV-2606-24049	2606.24049	not_routed_by_keyword_contract	SPACE: Enabling Learning from Cross-Robot Data Toward Generalist Policies	In robot learning, scaling training datasets across diverse embodiments and environments has become a dominant paradigm for learning generalizable robot policies.	closed_pre_denominator	benchmark_only	—	`SPACE: Enabling Learning from Cross-Robot Data Toward Generalist Policies`：In robot learning, scaling training datasets across diverse embodiments and environments has become a dominant paradigm for learning generalizable robot policies.；新增数据集或榜单但未改变通用 evaluation/release gate、failure authority 或平台 owner。
SF-2026-ARXIV-2606-24051	2606.24051	keyword_daily_semantic_review_required	DriveStack-VLA: Render-Teacher Alignment for BEV-Based DeepStack Vision-Language-Action Model	Vision-Language-Action driving models convert a pretrained Vision-Language Model into a driving policy, allowing them to use world knowledge and follow language guidances.	closed_pre_denominator	survey_or_position	—	`DriveStack-VLA: Render-Teacher Alignment for BEV-Based DeepStack Vision-Language-Action Model`：Vision-Language-Action driving models convert a pretrained Vision-Language Model into a driving policy, allowing them to use world knowledge and follow language guidances.；材料以综述/观点/分类为主，未给出可独立验收的 durable mechanism。
SF-2026-ARXIV-2606-24055	2606.24055	core_daily_semantic_review_required	Best Preprocessing Techniques for Sentiment Analysis	Sentiment analysis in Twitter datasets is important because it enables monitoring public opinion on products and analysis of political and social movements.	closed_pre_denominator	benchmark_only	—	`Best Preprocessing Techniques for Sentiment Analysis`：Sentiment analysis in Twitter datasets is important because it enables monitoring public opinion on products and analysis of political and social movements.；新增数据集或榜单但未改变通用 evaluation/release gate、failure authority 或平台 owner。
SF-2026-ARXIV-2606-24057	2606.24057	not_routed_by_keyword_contract	EPEdit: Redefining Image Editing with Generative AI and User-Centric Design	The demand for image manipulation has seen a significant increase recently.	closed_pre_denominator	survey_or_position	—	`EPEdit: Redefining Image Editing with Generative AI and User-Centric Design`：The demand for image manipulation has seen a significant increase recently.；材料以综述/观点/分类为主，未给出可独立验收的 durable mechanism。
SF-2026-ARXIV-2606-24058	2606.24058	not_routed_by_keyword_contract	VisChronos: Revolutionizing Image Captioning Through Real-Life Events	This paper aims to bridge the semantic gap between visual content and natural language understanding by leveraging historical events in the real world as a source of knowledge for caption generation.	closed_pre_denominator	benchmark_only	—	`VisChronos: Revolutionizing Image Captioning Through Real-Life Events`：This paper aims to bridge the semantic gap between visual content and natural language understanding by leveraging historical events in the real world as a source of knowledge for caption generation.；新增数据集或榜单但未改变通用 evaluation/release gate、failure authority 或平台 owner。
SF-2026-ARXIV-2606-24059	2606.24059	not_routed_by_keyword_contract	Ingredient-Level Food Image Segmentation for Nutrition Awareness	Food images often contain several visible ingredients, so assigning one dish label to an entire image hides important visual structure.	closed_pre_denominator	task_model_local	—	`Ingredient-Level Food Image Segmentation for Nutrition Awareness`：Food images often contain several visible ingredients, so assigning one dish label to an entire image hides important visual structure.；贡献主要是单一预测/识别任务的模型或指标改进，不是长期 AI-System mechanism。
SF-2026-ARXIV-2606-24060	2606.24060	not_routed_by_keyword_contract	Collaborative and AI-Supported Requirements Elicitation: An Empirical Study	Requirements elicitation requires stakeholders to communicate needs, negotiate priorities, and collaboratively construct knowledge that can be transformed into software requirements artifacts.	closed_pre_denominator	model_or_agent_method_local	—	`Collaborative and AI-Supported Requirements Elicitation: An Empirical Study`：Requirements elicitation requires stakeholders to communicate needs, negotiate priorities, and collaboratively construct knowledge that can be transformed into software requirements artifacts.；模型/Agent 方法或能力增量没有改变长期平台机制、资源边界、权威状态或 release contract。
SF-2026-ARXIV-2606-24062	2606.24062	core_daily_semantic_review_required	RAVEN: A Regime-Aware Variable-context Expert Network for Financial Time Series Forecasting	Financial time series forecasting presents structural challenges absent from standard benchmarks.	closed_pre_denominator	benchmark_only	—	`RAVEN: A Regime-Aware Variable-context Expert Network for Financial Time Series Forecasting`：Financial time series forecasting presents structural challenges absent from standard benchmarks.；新增数据集或榜单但未改变通用 evaluation/release gate、failure authority 或平台 owner。
