arxiv_id	source_family_id	title	status	reason	review	access	owner	score	disposition	audit
2606.00057	SF-2026-ARXIV-2606-00057	Data Architectures for AI-Ready Interoperable Public Transportation Ecosystems	pre_denominator_closure	`Data Architectures for AI-Ready Interoperable Public Transportation Ecosystems`（cs.CE, cs.ET, cs.SE, eess.SY）：Public transportation (PT) agencies generate vast amounts of heterogeneous data from automatic fare collection (AFC), automatic passenger counting (APC), vehicle location (AVL/CAD), schedule and real-time feeds (GTFS/GTFS-RT), and proprietary platforms. These datasets offer unprecedented opportunities for data-driven planning, operations, and passenger services, but their potential is constrained by fragmentation, inconsistent update frequencies, and the lack of reproducible, interoperable pipelines. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00058	SF-2026-ARXIV-2606-00058	A Survey on Security with Quantum Computing	pre_denominator_closure	`A Survey on Security with Quantum Computing`（cs.CR）：Quantum computing has emerged as a transformative computing paradigm capable of solving problems that remain computationally infeasible for classical systems; however, its rapid advancement also introduces significant security, privacy, and reliability concerns. In this context, this survey presents a comprehensive review of security challenges and mitigation strategies associated with quantum computing, focusing on security issues in quantum computers, security threats caused by quantum computers, and security mechanisms developed for quantum systems. 该工作主要整理或主张研究方向，没有给出可迁移的系统接口、状态所有权及跨工作负载验证。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00059	SF-2026-ARXIV-2606-00059	Reinforcement Learning for Optimal Experiment Design in Parameter Identification of Mechatronic Systems	pre_denominator_closure	`Reinforcement Learning for Optimal Experiment Design in Parameter Identification of Mechatronic Systems`（cs.LG, cs.RO）：Informative excitation signals are critical for accurate system identification of mechatronic systems, yet classical system identification (SI) approaches require expert knowledge and hand-crafted signal design to respect hardware safety constraints, limiting their generalizability. We propose a reinforcement learning (RL) agent that learns optimal excitation signals for a Quanser Aero 2 testbed while autonomously enforcing safety constraints through reward shaping. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00060	SF-2026-ARXIV-2606-00060	Machine Learning-Based Bitcoin Trading Under Transaction Costs: Evidence From Walk-Forward Forecasting	pre_denominator_closure	`Machine Learning-Based Bitcoin Trading Under Transaction Costs: Evidence From Walk-Forward Forecasting`（cs.CE, cs.LG, q-fin.TR）：This paper investigates whether machine learning forecasts of hourly BTC-USDT returns can be converted into economically meaningful trading performance after transaction costs. Using approximately 70,000 hourly observations from 2018-2026, XGBoost, LSTM, and iTransformer are evaluated in a 27-fold walk-forward protocol. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00062	SF-2026-ARXIV-2606-00062	Graph-Augmented Retrieval for Cross-Entity Financial Sentiment Analysis: A Comparative Study	pre_denominator_closure	`Graph-Augmented Retrieval for Cross-Entity Financial Sentiment Analysis: A Comparative Study`（cs.CL）：Retrieval-Augmented Generation (RAG) has become foundational for grounding large language models in domain-specific corpora, yet conventional vector-based RAG systems are fundamentally limited in their ability to capture the structured, multi-entity relationships that underpin financial market analysis. This paper presents a comprehensive comparative study of a novel two-hop Graph-RAG architecture versus a standard vector-only baseline for cross-entity financial sentiment analysis. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00063	SF-2026-ARXIV-2606-00063	Linear Motility Maps in Nonlinear Viscous Fluids	pre_denominator_closure	`Linear Motility Maps in Nonlinear Viscous Fluids`（cs.RO, math-ph, physics.flu-dyn）：Systems moving in low Reynolds number fluid regimes are known to be governed by a ``motility map'' which linearly relates their shape change rates to they body frame velocity moving through the fluid. A consequence of this is ``Purcell's Scallop Theorem'' -- a locomotion system that undergoes shape changes that follow the same path forward and backward in time (reciprocal body deformations) cannot achieve net displacement, regardless of pacing of those changes.We show that linear-in-velocity motility maps extend to any power law viscosity (a.k.a. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00065	SF-2026-ARXIV-2606-00065	Beyond Text and Tables: Vision-Language Model Integration in ComProScanner for Extracting Materials Data from Scientific Figures with High Accuracy	pre_denominator_closure	`Beyond Text and Tables: Vision-Language Model Integration in ComProScanner for Extracting Materials Data from Scientific Figures with High Accuracy`（cond-mat.mtrl-sci, cs.AI, cs.CL, cs.IR）：Automated extraction of materials composition-property data from scientific literature has advanced considerably with the development of large language model-based pipelines; however, existing frameworks remain limited to textual and tabular content, overlooking the substantial proportion of quantitative property data reported exclusively in scientific figures. Here, we extend ComProScanner, a fully end-to-end multi-agent framework for automated composition-property database construction, with a native vision-language model (VLM) based figure extraction capability. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.07550	SF-2026-ARXIV-2606-07550	Offline Reinforcement Learning for Plasma Control in Nuclear Fusion: Codebase and Benchmark	pre_denominator_closure	`Offline Reinforcement Learning for Plasma Control in Nuclear Fusion: Codebase and Benchmark`（cs.AI, cs.LG）：Offline reinforcement learning (RL) offers a promising route for developing plasma controllers from historical tokamak data, since online trial-and-error on real devices is costly and risky. However, progress in this direction remains difficult to measure due to the lack of a standardized offline RL benchmark for realistic multi-actuator, long-horizon plasma control problems in nuclear fusion. 其贡献是特定数据/评测资产；未改变通用 evaluation contract、release gate 或运行时控制面。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.12442	SF-2026-ARXIV-2606-12442	Reframing AI Loss of Control: What Control Is, How to Have It, How to Lose It	pre_denominator_closure	`Reframing AI Loss of Control: What Control Is, How to Have It, How to Lose It`（cs.AI, cs.CY）：At present, loss of control risks have gained much prominence in public discussion, particularly in relation to AI, with extensive discourse present among academics, frontier labs, and even governments. However, in the existing literature, the concept seems to rest on surprisingly weak foundations, where even those that discuss loss of control extensively do not first establish what control is and what exactly is being lost. 机制和证据绑定垂直领域任务，尚不能推出 AI System 的通用 data/state/control ownership 变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.12443	SF-2026-ARXIV-2606-12443	Occupational Prompting Reveals Cultural Bias in Large Language Models	pre_denominator_closure	`Occupational Prompting Reveals Cultural Bias in Large Language Models`（cs.AI, cs.CL, cs.CY）：Social roles shape expectations, priorities, and judgments, yet it remains unclear how large language models (LLMs) associate occupational identities with broader cultural value patterns. Prior work used nationality-based cultural prompting to study how LLM responses to value-survey questions align with human cultural benchmarks. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
