arxiv_id	submitted_v1_utc	title	categories	screening_status	screening_reason
2603.13230	2026-03-17T00:00:05Z	Slang Context-based Inference Enhancement via Greedy Search-Guided Chain-of-Thought Prompting	cs.CL	pre_denominator_closure	Slang Context-based Inference Enhancement via Greedy Search-Guided Chain-of-Thought Prompting（cs.CL）的公开摘要聚焦于：Slang interpretation has been a challenging downstream task for Large Language Models (LLMs) as the expressions are inherently embedded in contextual, cultural, and linguistic frameworks. In the absence of domain-specific training data, it is difficult for LLMs to accurately interpret slang meaning based on lexical information. This paper attempts to investi 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13231	2026-03-17T00:00:07Z	Translational Gaps in Graph Transformers for Longitudinal EHR Prediction: A Critical Appraisal of GT-BEHRT	cs.CL;cs.CY;cs.LG	pre_denominator_closure	Translational Gaps in Graph Transformers for Longitudinal EHR Prediction: A Critical Appraisal of GT-BEHRT（cs.CL, cs.CY）的公开摘要聚焦于：Transformer-based models have improved predictive modeling on longitudinal electronic health records through large-scale self-supervised pretraining. However, most EHR transformer architectures treat each clinical encounter as an unordered collection of codes, which limits their ability to capture meaningful relationships within a visit. Graph-transformer ap 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13232	2026-03-17T00:00:08Z	Autonomous Editorial Systems and Computational Investigation with Artificial Intelligence	cs.AI;cs.DL	pre_denominator_closure	Autonomous Editorial Systems and Computational Investigation with Artificial Intelligence（cs.AI, cs.DL）的公开摘要聚焦于：Autonomous editorial systems represent an emerging class of computational frameworks that transform how large volumes of information are ingested, organized, and analyzed. This work presents a structured, continuously operating editorial architecture that treats news and reports as persistent state rather than transient documents. The system separates editor 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13233	2026-03-17T00:00:10Z	From Prompts to Worlds: How Users Iterate, Explore, and Make Sense of AI-Generated 3D Environments	cs.AI;cs.HC	pre_denominator_closure	From Prompts to Worlds: How Users Iterate, Explore, and Make Sense of AI-Generated 3D Environments（cs.AI, cs.HC）的公开摘要聚焦于：Text-to-3D generative AI systems create navigable environments from natural language prompts, but unlike text-to-image generation, evaluation requires embodied exploration of spatial coherence, scale, and navigability. We present the first empirical study of a commercial text-to-3D platform, combining think-aloud protocols, behavioral observation, and valida 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13234	2026-03-17T00:00:12Z	RFX-Fuse: Breiman and Cutler's Unified ML Engine + Native Explainable Similarity	cs.LG;stat.ML	pre_denominator_closure	RFX-Fuse: Breiman and Cutler's Unified ML Engine + Native Explainable Similarity（cs.LG, stat.ML）的公开摘要聚焦于：Breiman and Cutler's original Random Forest was designed as a unified ML engine -- not merely an ensemble predictor. Their implementation included classification, regression, unsupervised learning, proximity-based similarity, outlier detection, missing value imputation, and visualization -- capabilities that modern libraries like scikit-learn never implement 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13235	2026-03-17T00:00:21Z	Continual Fine-Tuning with Provably Accurate and Parameter-Free Task Retrieval	cs.LG	pre_denominator_closure	Continual Fine-Tuning with Provably Accurate and Parameter-Free Task Retrieval（cs.LG）的公开摘要聚焦于：Continual fine-tuning aims to adapt a pre-trained backbone to new tasks sequentially while preserving performance on earlier tasks whose data are no longer available. Existing approaches fall into two categories which include input- and parameter-adaptation. Input-adaptation methods rely on retrieving the most relevant prompts at test time, but require conti 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13236	2026-03-17T00:00:23Z	Human Attribution of Causality to AI Across Agency, Misuse, and Misalignment	cs.AI;cs.CY	pre_denominator_closure	Human Attribution of Causality to AI Across Agency, Misuse, and Misalignment（cs.AI, cs.CY）的公开摘要聚焦于：AI-related incidents are becoming increasingly frequent and severe, ranging from safety failures to misuse by malicious actors. In such complex situations, identifying which elements caused an adverse outcome, the problem of cause selection, is a critical first step for establishing liability. This paper investigates folk perceptions of causal responsibility 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13237	2026-03-17T00:00:26Z	A Dual-Path Generative Framework for Zero-Day Fraud Detection in Banking Systems	cs.AI;cs.CR	pre_denominator_closure	"A Dual-Path Generative Framework for Zero-Day Fraud Detection in Banking Systems（cs.AI, cs.CR）的公开摘要聚焦于：High-frequency banking environments face a critical trade-off between low-latency fraud detection and the regulatory explainability demanded by GDPR. Traditional rule-based and discriminative models struggle with ""zero-day"" attacks due to extreme class imbalance and the lack of historical precedents. This paper proposes a Dual-Path Generative Framework that 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。"
2603.13238	2026-03-17T00:00:27Z	KazakhOCR: A Synthetic Benchmark for Evaluating Multimodal Models in Low-Resource Kazakh Script OCR	cs.CL;cs.CV	pre_denominator_closure	KazakhOCR: A Synthetic Benchmark for Evaluating Multimodal Models in Low-Resource Kazakh Script OCR（cs.CL, cs.CV）的公开摘要聚焦于：Kazakh is a Turkic language using the Arabic, Cyrillic, and Latin scripts, making it unique in terms of optical character recognition (OCR). Work on OCR for low-resource Kazakh scripts is very scarce, and no OCR benchmarks or images exist for the Arabic and Latin scripts. We construct a synthetic OCR dataset of 7,219 images for all three scripts with font, c 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13239	2026-03-17T00:00:34Z	Benchmarking Zero-Shot Reasoning Approaches for Error Detection in Solidity Smart Contracts	cs.AI	pre_denominator_closure	Benchmarking Zero-Shot Reasoning Approaches for Error Detection in Solidity Smart Contracts（cs.AI）的公开摘要聚焦于：Smart contracts play a central role in blockchain systems by encoding financial and operational logic. Still, their susceptibility to subtle security flaws poses significant risks of financial loss and erosion of trust. LLMs create new opportunities for automating vulnerability detection, yet the effectiveness of different prompting strategies and model choi 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13240	2026-03-17T00:00:35Z	Gloss-Free Sign Language Translation: An Unbiased Evaluation of Progress in the Field	cs.CL;cs.CV	pre_denominator_closure	Gloss-Free Sign Language Translation: An Unbiased Evaluation of Progress in the Field（cs.CL, cs.CV）的公开摘要聚焦于：Sign Language Translation (SLT) aims to automatically convert visual sign language videos into spoken language text and vice versa. While recent years have seen rapid progress, the true sources of performance improvements often remain unclear. Do reported performance gains come from methodological novelty, or from the choice of a different backbone, training 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13241	2026-03-17T00:00:38Z	A Hybrid Tsallis-Polarization Impurity Measure for Decision Trees: Theoretical Foundations and Empirical Evaluation	cs.AI;cs.LG;stat.ML	pre_denominator_closure	A Hybrid Tsallis-Polarization Impurity Measure for Decision Trees: Theoretical Foundations and Empirical Evaluation（cs.AI, cs.LG）的公开摘要聚焦于：We introduce the Integrated Tsallis Combination (ITC), a hybrid impurity measure for decision tree learning that combines normalized Tsallis entropy with an exponential polarization component. While many existing measures sacrifice theoretical soundness for computational efficiency or vice versa, ITC provides a mathematically principled framework that balanc 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.13242	2026-03-17T00:00:39Z	Automating the Analysis and Improvement of Dynamic Programming Algorithms with Applications to Natural Language Processing	cs.CL;cs.FL;cs.PL	pre_denominator_closure	Automating the Analysis and Improvement of Dynamic Programming Algorithms with Applications to Natural Language Processing（cs.CL, cs.FL）的公开摘要聚焦于：This thesis develops a system for automatically analyzing and improving dynamic programs, such as those that have driven progress in natural language processing and computer science, more generally, for decades. Finding a correct program with the optimal asymptotic runtime can be unintuitive, time-consuming, and error-prone. This thesis aims to automate this 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
