source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-25265	2606.25265	core_daily_semantic_review_required	Variational Inference via Entropic Transport Descent	Particle-based variational inference (ParVI) methods approximate an intractable target distribution by evolving an ensemble of interacting samples.	closed_pre_denominator	model_or_domain_local	—	`Variational Inference via Entropic Transport Descent`：Particle-based variational inference (ParVI) methods approximate an intractable target distribution by evolving an ensemble of interacting samples.；论文贡献未改变长期 mechanism、state/data/control ownership、evaluation/release contract 或平台设计。
SF-2026-ARXIV-2606-25268	2606.25268	core_daily_semantic_review_required	Learning Interpretable Text Signals for Structured Responses	Textual data are often collected alongside structured response variables, but prediction and interpretation are commonly treated as separate tasks.	closed_pre_denominator	survey_or_position	—	`Learning Interpretable Text Signals for Structured Responses`：Textual data are often collected alongside structured response variables, but prediction and interpretation are commonly treated as separate tasks.；综述/观点/分类没有形成可独立验收的 durable mechanism。
SF-2026-ARXIV-2606-25269	2606.25269	core_daily_semantic_review_required	Stabilizing black-box algorithms through task-oriented randomization	As black-box models become foundational to modern research, ensuring their stability is paramount for the realization of trustworthy artificial intelligence.	closed_pre_denominator	benchmark_only	—	`Stabilizing black-box algorithms through task-oriented randomization`：As black-box models become foundational to modern research, ensuring their stability is paramount for the realization of trustworthy artificial intelligence.；数据集或任务榜单没有改变通用 evaluation/release gate。
SF-2026-ARXIV-2606-25270	2606.25270	core_daily_semantic_review_required	Inverse Reinforcement Learning for Interpretable Keystroke Biomarkers in Parkinson's Disease	Keystroke dynamics offer a passive window into motor function, but existing work extracts aggregate typing statistics and trains classifiers for PD/control discrimination, foregoing interpretability and rarely reporting reliability.	closed_pre_denominator	domain_result	—	`Inverse Reinforcement Learning for Interpretable Keystroke Biomarkers in Parkinson's Disease`：Keystroke dynamics offer a passive window into motor function, but existing work extracts aggregate typing statistics and trains classifiers for PD/control discrimination, foregoing interpretability and rarely reporting reliability.；医疗/临床任务证据没有改写跨任务 AI-System 的状态、控制或发布契约。
SF-2026-ARXIV-2606-25272	2606.25272	not_routed_by_keyword_contract	Semantic Code Clone Detection: Are We There Yet?	Code clone detection has been extensively studied for decades, and recent approaches have begun reporting remarkably high performance for semantic (Type-4) clones on benchmark datasets.	closed_pre_denominator	benchmark_only	—	`Semantic Code Clone Detection: Are We There Yet?`：Code clone detection has been extensively studied for decades, and recent approaches have begun reporting remarkably high performance for semantic (Type-4) clones on benchmark datasets.；数据集或任务榜单没有改变通用 evaluation/release gate。
SF-2026-ARXIV-2606-25273	2606.25273	keyword_daily_semantic_review_required	CoGeoAD: Hierarchical Color-Geometric Fusion with Multi-View Attention for Zero-Shot 3D Anomaly Detection	Zero-shot 3D anomaly detection is essential for industrial quality inspection, where labeled anomaly samples are scarce.	closed_pre_denominator	benchmark_only	—	`CoGeoAD: Hierarchical Color-Geometric Fusion with Multi-View Attention for Zero-Shot 3D Anomaly Detection`：Zero-shot 3D anomaly detection is essential for industrial quality inspection, where labeled anomaly samples are scarce.；数据集或任务榜单没有改变通用 evaluation/release gate。
SF-2026-ARXIV-2606-25274	2606.25274	core_daily_semantic_review_required	UC-Search: Risk-Aware Test-Time Search for Delayed Constrained Time-Series Control	Time-series deployments often need delayed feasible decisions, not only accurate forecasts.	retained	durable_system_candidate	AGENT-PLANNING	`UC-Search: Risk-Aware Test-Time Search for Delayed Constrained Time-Series Control` 改变 `AGENT-PLANNING` 的长期机制或验收边界：Time-series deployments often need delayed feasible decisions, not only accurate forecasts.
SF-2026-ARXIV-2606-25277	2606.25277	not_routed_by_keyword_contract	An Integrated Hardware-Software Design for Low-Data Spatial Defect Detection in Robotic Visual Inspection with Hybrid Optoelectronic Neural Networks	To address data overload and inefficient shape-level annotation in robotic visual inspection, this paper proposes a hardware-software integrated optoelectronic architecture.	closed_pre_denominator	embodied_task_local	—	`An Integrated Hardware-Software Design for Low-Data Spatial Defect Detection in Robotic Visual Inspection with Hybrid Optoelectronic Neural Networks`：To address data overload and inefficient shape-level annotation in robotic visual inspection, this paper proposes a hardware-software integrated optoelectronic architecture.；具身或控制任务增量未形成跨环境可复用的 owner、fallback 与部署契约。
SF-2026-ARXIV-2606-25278	2606.25278	core_daily_semantic_review_required	Heterogeneous and Adept Snapshot Distillation for 3D Semantic Segmentation	Multi-modal fusion and multi-model ensembling are prevalent in enhancing the performance of 3D semantic segmentation.	closed_pre_denominator	benchmark_only	—	`Heterogeneous and Adept Snapshot Distillation for 3D Semantic Segmentation`：Multi-modal fusion and multi-model ensembling are prevalent in enhancing the performance of 3D semantic segmentation.；数据集或任务榜单没有改变通用 evaluation/release gate。
SF-2026-ARXIV-2606-25279	2606.25279	keyword_daily_semantic_review_required	MRI2Rep: Autoregressive Structured Report Generation for 3D Liver MRI	Manual reporting of 3D MRI studies is time-consuming, yet end-to-end structured report generation for 3D liver MRI remains underexplored due to volumetric complexity and scarce paired data.	closed_pre_denominator	domain_result	—	`MRI2Rep: Autoregressive Structured Report Generation for 3D Liver MRI`：Manual reporting of 3D MRI studies is time-consuming, yet end-to-end structured report generation for 3D liver MRI remains underexplored due to volumetric complexity and scarce paired data.；医疗/临床任务证据没有改写跨任务 AI-System 的状态、控制或发布契约。
