arxiv_id	source_family_id	title	status	reason	review	access	owner	score	disposition	audit
2606.00073	SF-2026-ARXIV-2606-00073	Rare Events, Real Signals: Functional Ensembles as Units of Computation in Deep Spiking Networks	pre_denominator_closure	`Rare Events, Real Signals: Functional Ensembles as Units of Computation in Deep Spiking Networks`（cs.AI, cs.LG, cs.NE）：We investigate how internal representations emerge across hierarchical processing systems by introducing a neuroscience-inspired framework for analyzing deep spiking neural networks (SNN) through the lens of functional connectivity. Drawing on concepts from systems neuroscience and information theory, we form the first-order functionally-connected (1FC) group of a neuron based on its statistically significant pairwise correlations with neurons from the previous layer of a trained SNN architecture. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.00074	SF-2026-ARXIV-2606-00074	CLSP-REQA: A Real-Time Quality-Aware Closed-Loop Seizure Prediction Framework with Mamba-BiLSTM and Confidence-Gated Intervention	pre_denominator_closure	`CLSP-REQA: A Real-Time Quality-Aware Closed-Loop Seizure Prediction Framework with Mamba-BiLSTM and Confidence-Gated Intervention`（cs.AI, cs.LG, eess.SP）：Reliable seizure prediction is a prerequisite for closed-loop neurostimulation therapy, yet existing methods rarely account for the variability in EEG signal quality encountered in real-world deployment, and the overwhelming majority adopt non-strict evaluation protocols that overestimate generalisation performance. We propose CLSP-REQA (Closed-Loop Seizure Prediction with Real-time EEG Quality Assessment), a unified framework that embeds a lightweight signal quality estimator directly within the prediction pipeline. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.02589	SF-2026-ARXIV-2606-02589	Rashomon-Seeded Annealing for Robust Bayesian Inference in Factorial Designs	pre_denominator_closure	"`Rashomon-Seeded Annealing for Robust Bayesian Inference in Factorial Designs`（stat.ME, stat.ML）：Integrating over model uncertainty in factorial designs via Bayesian model averaging is hindered by the combinatorial explosion of interpretable interaction effects, often yielding a multimodal posterior, where standard Markov chain Monte Carlo algorithms encounter significant convergence issues. We propose a general computational framework that repurposes Rashomon sets, collections of high-performing models traditionally valued for prediction and interpretability, as a strategic ""warm start"" for estimating the full posterior. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。"	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.02592	SF-2026-ARXIV-2606-02592	Tracking Urban Atmospheric Pollutants using Sentinel-5P Satellite Data	pre_denominator_closure	`Tracking Urban Atmospheric Pollutants using Sentinel-5P Satellite Data`（cs.AI, stat.AP）：Urban nitrogen dioxide ($NO_2$) is a key indicator of combustion-related air pollution and exhibits strong spatial and temporal variability in cities. This study presents a satellite-based framework for tracking urban $NO_2$ pollution using tropospheric column observations from Sentinel-5P/TROPOMI over Guayas Province, Ecuador. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.18264	SF-2026-ARXIV-2606-18264	Simulating Hate Speech Cascades with Multi-LLM Agents: Empirical Grounding, Modeling Fidelity, and Intervention Strategies	pre_denominator_closure	`Simulating Hate Speech Cascades with Multi-LLM Agents: Empirical Grounding, Modeling Fidelity, and Intervention Strategies`（cs.AI, cs.CL, cs.SI）：Faithful modeling of hateful content propagation on online platforms remains an open problem for moderation research. Classical cascade models that do not explicitly represent the profile, community, and content factors associated with hateful-content propagation may yield moderation strategies that behave less effectively when deployed in real-world scenarios. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.20605	SF-2026-ARXIV-2606-20605	Trust in Generative AI for Health Information Consumption and the Effect of Learned Dependency: An Experimental Investigation	pre_denominator_closure	`Trust in Generative AI for Health Information Consumption and the Effect of Learned Dependency: An Experimental Investigation`（cs.AI, cs.CY）：Background: Generative artificial intelligence (GenAI) is increasingly used for health information, yet its influence on users' trust calibration remains unclear. Objective: This study examines whether learned dependency on GenAI influences trust in AI-generated health information and whether text highlighting reduces overreliance on incorrect outputs. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2606.20606	SF-2026-ARXIV-2606-20606	Distributed Quantum Learning over Near-term Devices: Convergence Analysis and Security Design	pre_denominator_closure	`Distributed Quantum Learning over Near-term Devices: Convergence Analysis and Security Design`（cs.AI, cs.CE, quant-ph）：Distributed quantum learning (DQL) has emerged as a promising paradigm to scale quantum-enhanced machine learning by interconnecting multiple quantum devices. However, for efficient real-world deployment, it is essential to characterize how DQL converges under practical scenarios while simultaneously safeguarding multi-device quantum infrastructures from evolving security threats. 结果集中在模型/任务局部精度，未建立训练、推理、平台或 Agent 的长期系统契约变化。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
2605.21854	SF-2026-ARXIV-2605-21854	CrossVLA: Cross-Paradigm Post-Training and Inference Optimization for Vision-Language-Action Models	retained	We present CrossVLA, an empirical study of cross-paradigm VLA post-training.	deep_complete	accessible	MULTIMODAL-EMBODIED-VLA	9	No Change — Existing Coverage	retain_reconfirmed
2605.21856	SF-2026-ARXIV-2605-21856	The Illusion of Reasoning: Exposing Evasive Data Contamination in LLMs via Zero-CoT Truncation	retained	Inspired by this, we propose the Zero-CoT Probe (ZCP), a novel black-box detection method that deliberately truncates the entire Chain-of-Thought (CoT) process to expose latent shortcut mappings.	deep_complete	accessible	PLATFORM-EVALUATION-SYSTEM	8	No Change — Existing Coverage	false_negative_recovered
2605.21857	SF-2026-ARXIV-2605-21857	SPIDER: Two Server Functionality for the Cost of Zero	pre_denominator_closure	`SPIDER: Two Server Functionality for the Cost of Zero`（cs.CR）：We introduce baseSPIDER and SPIDER, private information retrieval (PIR) schemes that embody two technical advancements. The baseSPIDER protocol operates with a single server and a stateful client that performs pre-processing and stores hints for future queries. 该局部方法没有改变长期 state/data/control owner、evaluation/release contract 或生产 fallback。若后续公开跨 workload artifact、生产控制接口或可证伪的系统级证据，则重新进入 denominator。	identity_date_closed	accessible			Rejected — Below Candidate Denominator	closure_reconfirmed
