source_family_id	arxiv_id	route	title	abstract_basis	decision	decision_kind	stable_node_id	family_specific_reason
SF-2026-ARXIV-2606-22741	2606.22741	core_daily_semantic_review_required	GRADE: Graph Representation of LLM Agent Dependency and Execution	Can one graph represent every kind of LLM agent's run?	retained_after_full_semantic_audit	durable_ai_system_candidate	AGENT-WORKFLOW	`GRADE: Graph Representation of LLM Agent Dependency and Execution` 改变 `AGENT-WORKFLOW` 的长期 state/data/control 或 evaluation/security contract：GRADE: Graph Representation of LLM Agent Dependency and Execution 的 exact-v1 机制为：A trace records what each step did, never what it relied on, the state it read, and the results it reused. 因此 把执行边、依赖边、checkpoint 与 compensation 作为可重放 control state。
SF-2026-ARXIV-2606-22744	2606.22744	core_daily_semantic_review_required	Error Highways: Scaling Predictive Coding to Very Deep Networks	Predictive coding networks (PCNs) offer a biologically-plausible, local-learning alternative to back-propagation of errors (backprop).	pre_denominator_closure	local_artifact_without_general_contract	—	`Error Highways: Scaling Predictive Coding to Very Deep Networks`：Predictive coding networks (PCNs) offer a biologically-plausible, local-learning alternative to back-propagation of errors (backprop). 局部数据集或 benchmark 没有改变通用 evaluator identity、release Gate 或 failure handoff。
SF-2026-ARXIV-2606-22745	2606.22745	core_daily_semantic_review_required	Language-Specific Sentiment Polarity Biases in Encoder and Large Language Model Classification of Product Reviews	This study investigates sentiment polarity biases, specifically, differences in how accurately AI models classify positive versus negative reviews across languages and model architectures.	pre_denominator_closure	task_model_method_without_durable_owner	—	`Language-Specific Sentiment Polarity Biases in Encoder and Large Language Model Classification of Product Reviews`：This study investigates sentiment polarity biases, specifically, differences in how accurately AI models classify positive versus negative reviews across languages and model architectures. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22748	2606.22748	core_daily_semantic_review_required	AI Fiction in the Wild	Some professional authors are beginning to use AI tools to help produce their fiction writing.	pre_denominator_closure	task_model_method_without_durable_owner	—	`AI Fiction in the Wild`：Some professional authors are beginning to use AI tools to help produce their fiction writing. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22749	2606.22749	not_routed_by_keyword_contract	RaysUp: Ultra-light Universal Feature Upsampling via Geometry-Aware Ray Representation	Pre-trained Vision Foundation Models (VFMs) have become central to modern computer vision due to their powerful semantic representations and strong generalization ability.	pre_denominator_closure	task_model_method_without_durable_owner	—	`RaysUp: Ultra-light Universal Feature Upsampling via Geometry-Aware Ray Representation`：Pre-trained Vision Foundation Models (VFMs) have become central to modern computer vision due to their powerful semantic representations and strong generalization ability. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22752	2606.22752	core_daily_semantic_review_required	One-Step Flow Matching for Generative Modeling of Path-Dependent Physical Fields	Physical simulations for intricate geometries with path-dependent constitutive models face difficulties due to the enormous computational cost they require.	pre_denominator_closure	task_model_method_without_durable_owner	—	`One-Step Flow Matching for Generative Modeling of Path-Dependent Physical Fields`：Physical simulations for intricate geometries with path-dependent constitutive models face difficulties due to the enormous computational cost they require. 任务建模/精度增量仍被现有模型机制吸收，没有新的系统 ownership 或发布控制面。
SF-2026-ARXIV-2606-22756	2606.22756	keyword_daily_semantic_review_required	HERCULES: An Open-Source Simulation Framework for Heterogeneous Multi-Robot SLAM, Collaborative Perception, and Exploration	We present HERCULES, an open-source simulator and data-collection pipeline for heterogeneous multi-robot autonomy.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`HERCULES: An Open-Source Simulation Framework for Heterogeneous Multi-Robot SLAM, Collaborative Perception, and Exploration`：We present HERCULES, an open-source simulator and data-collection pipeline for heterogeneous multi-robot autonomy. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
SF-2026-ARXIV-2606-22757	2606.22757	keyword_daily_semantic_review_required	Cooperative-ORCA*: Real-Time Proactive Deadlock Avoidance for Continuous-Space Multi-Agent Navigation	Multi-Agent Path Finding (MAPF) is a problem that requires computing collision-free paths for a set of agents from their start locations to designated goal locations.	pre_denominator_closure	paper_specific_method_already_subsumed	—	`Cooperative-ORCA*: Real-Time Proactive Deadlock Avoidance for Continuous-Space Multi-Agent Navigation`：Multi-Agent Path Finding (MAPF) is a problem that requires computing collision-free paths for a set of agents from their start locations to designated goal locations. 论文级方法没有独立的 state/control owner 或新的 evidence/release authority。
SF-2026-ARXIV-2606-22765	2606.22765	core_daily_semantic_review_required	Evolutionary Optimization Reveals Structural Constraints on Reservoir Architecture for Spatiotemporal Chaos	Biological systems maintain function in fluctuating environments by transforming past stimulation into internal dynamical states that support future-oriented responses.	pre_denominator_closure	outside_durable_ai_system_scope	—	`Evolutionary Optimization Reveals Structural Constraints on Reservoir Architecture for Spatiotemporal Chaos`：Biological systems maintain function in fluctuating environments by transforming past stimulation into internal dynamical states that support future-oriented responses. 主要贡献不改变长期 AI-system 机制、ownership 或验收合同。
SF-2026-ARXIV-2606-22766	2606.22766	not_routed_by_keyword_contract	READ More than What You See: Reinforcement Learning for Accurate and Coherent Audio Description Generations	Audio Description aims to generate concise narrations of essential visual content in audio-visual media for blind and low-vision audiences.	pre_denominator_closure	domain_application_without_system_contract_delta	—	`READ More than What You See: Reinforcement Learning for Accurate and Coherent Audio Description Generations`：Audio Description aims to generate concise narrations of essential visual content in audio-visual media for blind and low-vision audiences. 领域结果没有产生跨任务可复用的 state/data/control 或 release contract。
