arxiv_id	submitted_v1_utc	title	categories	screening_status	screening_reason
2603.08712	2026-03-11T00:00:04Z	A Hybrid Residue Floating Numerical Architecture with Formal Error Bounds for High Throughput FPGA Computation	cs.AR	pre_denominator_closure	A Hybrid Residue Floating Numerical Architecture with Formal Error Bounds for High Throughput FPGA Computation（cs.AR）的公开摘要聚焦于：Floating point arithmetic is costly on FPGA platforms due to wide datapaths, normalization, and carry propagation, motivating alternative numerical representations that improve throughput and efficiency. This paper presents the Hybrid Residue Floating Numerical Architecture (HRFNA), a fully specified numerical system that combines carry-free residue arithmet 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08713	2026-03-11T00:00:05Z	Unveiling the Potential of Quantization with MXFP4: Strategies for Quantization Error Reduction	cs.AI;cs.AR;cs.LG;cs.PF	pre_denominator_closure	Unveiling the Potential of Quantization with MXFP4: Strategies for Quantization Error Reduction（cs.AI, cs.AR）的公开摘要聚焦于：Large Language Models (LLMs) have intensified the need for low-precision formats that enable efficient, large-scale inference. The Open Compute Project (OCP) Microscaling (MX) standard is attractive due to its favorable hardware efficiency, but its 4-bit variant (MXFP4) lags behind NVIDIA's NVFP4 in accuracy, limiting adoption. We introduce two software-only 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08714	2026-03-11T00:00:07Z	On the Multi-Commodity Flow with convex objective function: Column-Generation approaches	cs.DM;cs.NI;math.OC	pre_denominator_closure	On the Multi-Commodity Flow with convex objective function: Column-Generation approaches（cs.DM, cs.NI）的公开摘要聚焦于：The purpose of this work is to develop an algorithmic optimization approach for a capacitated Multi-Commodity flow problem, where the objective is to minimize the total link costs, where the cost of each arc increases convexly with its utilization. This objective is particularly relevant in telecommunication networks, where device performance can deteriorate 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08715	2026-03-11T00:00:09Z	VeriInteresting: An Empirical Study of Model Prompt Interactions in Verilog Code Generation	cs.AR;cs.CL	pre_denominator_closure	VeriInteresting: An Empirical Study of Model Prompt Interactions in Verilog Code Generation（cs.AR, cs.CL）的公开摘要聚焦于：Rapid advances in language models (LMs) have created new opportunities for automated code generation while complicating trade-offs between model characteristics and prompt design choices. In this work, we provide an empirical map of recent trends in LMs for Verilog code generation, focusing on interactions among model reasoning, specialization, and prompt en 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08716	2026-03-11T00:00:10Z	Design Conductor: An agent autonomously builds a 1.5 GHz Linux-capable RISC-V CPU	cs.AI;cs.AR	pre_denominator_closure	Design Conductor: An agent autonomously builds a 1.5 GHz Linux-capable RISC-V CPU（cs.AI, cs.AR）的公开摘要聚焦于：Design Conductor (DC) is an autonomous agent which applies the capabilities of frontier models to build semiconductors end-to-end -- that is, from concept to verified, tape-out ready GDSII (layout CAD file). In 12 hours and fully autonomously, DC was able to build several micro-architecture variations of a complete RISC-V CPU (which we dub VerCore) that meet 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08717	2026-03-11T00:00:12Z	Equitable Multi-Task Learning for AI-RANs	cs.LG;cs.NI	pre_denominator_closure	Equitable Multi-Task Learning for AI-RANs（cs.LG, cs.NI）的公开摘要聚焦于：AI-enabled Radio Access Networks (AI-RANs) are expected to serve heterogeneous users with time-varying learning tasks over shared edge resources. Ensuring equitable inference performance across these users requires adaptive and fair learning mechanisms. This paper introduces an online-within-online fair multi-task learning (OWO-FMTL) framework that ensures l 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08718	2026-03-11T00:00:13Z	CktEvo: Repository-Level RTL Code Benchmark for Design Evolution	cs.AI;cs.AR	pre_denominator_closure	CktEvo: Repository-Level RTL Code Benchmark for Design Evolution（cs.AI, cs.AR）的公开摘要聚焦于：Register-Transfer Level (RTL) coding is an iterative, repository-scale process in which Power, Performance, and Area (PPA) emerge from interactions across many files and the downstream toolchain. While large language models (LLMs) have recently been applied to hardware design, most efforts focus on generation or debugging from natural-language prompts, where 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08719	2026-03-11T00:00:15Z	SiliconMind-V1: Multi-Agent Distillation and Debug-Reasoning Workflows for Verilog Code Generation	cs.AI;cs.AR;cs.SE	pre_denominator_closure	SiliconMind-V1: Multi-Agent Distillation and Debug-Reasoning Workflows for Verilog Code Generation（cs.AI, cs.AR）的公开摘要聚焦于：Large language models (LLMs) have recently emerged as a promising approach for automating Verilog code generation; however, existing methods primarily emphasize syntactic correctness and often rely on commercial models or external verification tools, which introduces concerns regarding cost, data privacy, and limited guarantees of functional correctness. Thi 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08720	2026-03-11T00:00:16Z	AnalogToBi: Device-Level Analog Circuit Topology Generation via Bipartite Graph and Grammar Guided Decoding	cs.AR;cs.ET	pre_denominator_closure	AnalogToBi: Device-Level Analog Circuit Topology Generation via Bipartite Graph and Grammar Guided Decoding（cs.AR, cs.ET）的公开摘要聚焦于：Analog circuit design remains highly dependent on expert knowledge due to the complexity of device-level interactions and topology design. Recent transformer-based approaches for device-level topology generation have shown promise, yet they suffer from low electrical validity without human-in-the-loop (HITL) training and severe memorization caused by sequenc 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
2603.08721	2026-03-11T00:00:17Z	KernelCraft: Benchmarking for Agentic Close-to-Metal Kernel Generation on Emerging Hardware	cs.AR;cs.LG;cs.SE	pre_denominator_closure	KernelCraft: Benchmarking for Agentic Close-to-Metal Kernel Generation on Emerging Hardware（cs.AR, cs.LG）的公开摘要聚焦于：New AI accelerators with novel instruction set architectures (ISAs) often require developers to manually craft low-level kernels, a time-consuming and error-prone process that does not scale across hardware targets. This delays emerging hardware platforms from reaching the market. While prior LLM-based code generation has shown promise in mature GPU ecosyste 该 family 未改变长期 state/data/control ownership、可复算 evaluation/release contract，也未修正当前 Books 的平台、训练或推理成立边界；因此在分母前按局部方法/领域证据闭合。
