arxiv_id	source_family_key	screening_route	title	decision	closure_class	stable_node_id	family_specific_reason
2606.22289	arxiv:2606.22289	not_routed_by_keyword_contract	Control-Aware Manipulation of ArduPilot via Legitimate MAVLink Commands: Simulation and Hardware Validation	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Control-Aware Manipulation of ArduPilot via Legitimate MAVLink Commands: Simulation and Hardware Validation’: exact abstract scope is ‘This paper investigates control-aware attacks against ArduPilot-based Unmanned Aerial Vehicles (UAVs), inwhich an adversary exploits the sensitivity of flight-controller dynamics to parameter changes to cause loss of control and crashes. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22296	arxiv:2606.22296	core_daily_semantic_review_required	SCENIC: Semantic-Conditioned Edge-Aware Neural Framework for Structured IoT Command Generation	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘SCENIC: Semantic-Conditioned Edge-Aware Neural Framework for Structured IoT Command Generation’: exact abstract scope is ‘Edge Internet of Things (IoT) agents are often constrained by memory capacity, privacy requirements, communication latency, and recurring inference cost. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22297	arxiv:2606.22297	not_routed_by_keyword_contract	DejaVu: Why You Should Write to Your DRAM Rows Twice, Carefully	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘DejaVu: Why You Should Write to Your DRAM Rows Twice, Carefully’: exact abstract scope is ‘We provide the first experimental demonstration of DejaVu, a phenomenon where the data previously written to DRAM cells affects DRAM's vulnerability to read disturbance. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22299	arxiv:2606.22299	not_routed_by_keyword_contract	Towards Accurate and Robust Surveillance Roadside IVD via Trackletized Audio-Visual Reasoning	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Towards Accurate and Robust Surveillance Roadside IVD via Trackletized Audio-Visual Reasoning’: exact abstract scope is ‘Idling Vehicle Detection (IVD) seeks to determine, at the final frame of a video clip, whether any vehicle is idling, meaning the vehicle is stationary with its engine running, using synchronized video from a remote surveillance camera and multichannel audio captured by spatially distributed wireless microphones along the roadside. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22303	arxiv:2606.22303	keyword_daily_semantic_review_required	FlowDPG: Deterministic Policy Gradient on Flow Matching Policies for Real-World Manipulation	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘FlowDPG: Deterministic Policy Gradient on Flow Matching Policies for Real-World Manipulation’: exact abstract scope is ‘Real-world reinforcement learning for robotic manipulation remains challenging, and this difficulty is amplified for flow matching policies: applying policy gradient methods to these policies is fundamentally limited by the need to backpropagate through time(BPTT) along the multi-step ODE that maps noise to actions, which is computationally prohibitive and numerically fragile. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22304	arxiv:2606.22304	core_daily_semantic_review_required	Encoder-Decoder Manifold Alignment for Idempotent Generation	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Encoder-Decoder Manifold Alignment for Idempotent Generation’: exact abstract scope is ‘Recently, several learning paradigms have been introduced to enforce idempotency in generative models. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22305	arxiv:2606.22305	core_daily_semantic_review_required	Learning at the Right Pace: Adaptive Data Scheduling Improves LLM Reinforcement Learning	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Learning at the Right Pace: Adaptive Data Scheduling Improves LLM Reinforcement Learning’: exact abstract scope is ‘Large Language Models (LLMs) achieve remarkable reasoning capabilities through reinforcement learning (RL) post-training. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22306	arxiv:2606.22306	core_daily_semantic_review_required	Leveraging Large Language Models to Obscure Code Stylometry: A Comparative Study of GPT-3.5 and GPT-4	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Leveraging Large Language Models to Obscure Code Stylometry: A Comparative Study of GPT-3.5 and GPT-4’: exact abstract scope is ‘In the rapidly evolving field of software development, code stylometry analyzing unique stylistic signatures of programmers plays a crit-ical role in authorship attribution and cybersecurity. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22307	arxiv:2606.22307	core_daily_semantic_review_required	Enhancing Protein Representation Learning via Manifold Restore Mixing	pre-denominator closure	domain_specific_application	—	Family-specific closure for ‘Enhancing Protein Representation Learning via Manifold Restore Mixing’: exact abstract scope is ‘Data augmentation (DA) has been proven to be an effective means for improving protein representation learning (PRL) by generating additional training samples. ’. 结果服务于特定领域任务，尚未改变可跨领域复用的训练、推理、平台或 Agent 系统责任边界.
2606.22308	arxiv:2606.22308	core_daily_semantic_review_required	Specificity- and Calibration-Aware Breast Ultrasound Segmentation via Entropy-Guided Boundary Supervision	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Specificity- and Calibration-Aware Breast Ultrasound Segmentation via Entropy-Guided Boundary Supervision’: exact abstract scope is ‘Lesion segmentation in breast ultrasound involves two related challenges. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22310	arxiv:2606.22310	keyword_daily_semantic_review_required	Learning to Evade: Adaptive Attacks on Audio Watermarking	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Learning to Evade: Adaptive Attacks on Audio Watermarking’: exact abstract scope is ‘Advances in generative audio have intensified copyright concerns, making audio watermarking increasingly important for asserting ownership. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22311	arxiv:2606.22311	core_daily_semantic_review_required	Semantic Non-Assembly: Privacy by Architectural Inertness Under Component Exposure	retained	candidate_denominator	PLATFORM-SECURITY	Retained for exact-v1 review under `PLATFORM-SECURITY`: ‘Semantic Non-Assembly: Privacy by Architectural Inertness Under Component Exposure’ states the scope ‘Existing privacy frameworks emphasize confidentiality, access control, appropriate information flow, or statistical disclosure limitation. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22312	arxiv:2606.22312	core_daily_semantic_review_required	SHACR: A Graph-Augmented Semi-Autonomous Framework for Multi-Class Conflict Resolution in Smart Home IoT Automation	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘SHACR: A Graph-Augmented Semi-Autonomous Framework for Multi-Class Conflict Resolution in Smart Home IoT Automation’: exact abstract scope is ‘Smart home automation increasingly relies on user-defined rules across heterogeneous IoT devices. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22314	arxiv:2606.22314	core_daily_semantic_review_required	Diffusion Integrated Gradients: Controllable Path Generation for Flexible Feature Attribution	pre-denominator closure	task_or_benchmark_local_improvement	—	Family-specific closure for ‘Diffusion Integrated Gradients: Controllable Path Generation for Flexible Feature Attribution’: exact abstract scope is ‘Path-based attribution methods such as Integrated Gradients (IG) are widely adopted for their strong axiomatic properties and effectiveness in attributing model predictions to input features by integrating gradients along a path from a baseline to the input. ’. 改进集中在单一任务、模型或数据集，未改变 evaluation release authority、平台 owner 或可迁移机制.
2606.22316	arxiv:2606.22316	not_routed_by_keyword_contract	Making Quantum Networks Work: Routing, Calibration, and Programmable Quantum Repeaters	pre-denominator closure	generic_non_ai_system	—	Family-specific closure for ‘Making Quantum Networks Work: Routing, Calibration, and Programmable Quantum Repeaters’: exact abstract scope is ‘The quantum internet enables distribution of quantum states across distant nodes, supporting secure communication, distributed computing, and quantum sensing. ’. 贡献属于通用数学、硬件或非 AI 系统问题，未形成 AI-System 的长期设计增量.
2606.22317	arxiv:2606.22317	core_daily_semantic_review_required	Curriculum Reinforcement Learning Can Incentivize Reasoning Capacity in LLMs Beyond the Base Model	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Curriculum Reinforcement Learning Can Incentivize Reasoning Capacity in LLMs Beyond the Base Model’: exact abstract scope is ‘Reinforcement learning with verifiable rewards (RLVR) is widely viewed as a promising path toward continuously improving large language models. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22319	arxiv:2606.22319	not_routed_by_keyword_contract	EmbodiedUS-FS: Fast Slow Intelligence for Ultrasound Robotics	retained	candidate_denominator	MULTIMODAL-EMBODIED-VLA	Retained for exact-v1 review under `MULTIMODAL-EMBODIED-VLA`: ‘EmbodiedUS-FS: Fast Slow Intelligence for Ultrasound Robotics’ states the scope ‘Robotic ultrasound scanning in real clinical environments requires both high-level clinical workflow reasoning and low-level closed-loop execution. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22325	arxiv:2606.22325	core_daily_semantic_review_required	All Routes Lead to Collapse	retained	candidate_denominator	MODEL-MOE	Retained for exact-v1 review under `MODEL-MOE`: ‘All Routes Lead to Collapse’ states the scope ‘Attention sinks, representation collapse, and norm stratification are treated as transformer-specific pathologies. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22326	arxiv:2606.22326	core_daily_semantic_review_required	Adam Converges in Nonsmooth Nonconvex Optimization	pre-denominator closure	local_method_without_durable_owner_delta	—	Family-specific closure for ‘Adam Converges in Nonsmooth Nonconvex Optimization’: exact abstract scope is ‘Adam is one of the most widely implemented and influential modern optimizers. ’. 提出局部方法或架构，但摘要证据没有显示它重划长期状态、数据流、控制权或既有 Books 结论.
2606.22327	arxiv:2606.22327	core_daily_semantic_review_required	Geometry-Aware Online Scheduling for LLM Serving: From Theoretical Bound to System Practice	retained	candidate_denominator	INFER-SCHEDULING	Retained for exact-v1 review under `INFER-SCHEDULING`: ‘Geometry-Aware Online Scheduling for LLM Serving: From Theoretical Bound to System Practice’ states the scope ‘The explosive demand for interactive Large Language Model serving has highlighted the management of the Key-Value cache's dynamic memory footprint as a critical area for performance optimization in inference engines. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22329	arxiv:2606.22329	core_daily_semantic_review_required	BabelJudge: Measuring LLM-as-a-Judge Reliability Across Languages and Agent Trajectories	retained	candidate_denominator	PLATFORM-EVALUATION-SYSTEM	Retained for exact-v1 review under `PLATFORM-EVALUATION-SYSTEM`: ‘BabelJudge: Measuring LLM-as-a-Judge Reliability Across Languages and Agent Trajectories’ states the scope ‘LLM-as-a-judge has become the dominant approach to scalable evaluation in NLP pipelines, yet judges themselves carry systematic biases that raw accuracy hides: they favor responses placed in slot A (position bias), they prefer longer responses regardless of quality (verbosity bias), and their reliability degrades sharply in lower-resource languages. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
2606.22330	arxiv:2606.22330	core_daily_semantic_review_required	Hypothesis-Driven Skill Optimization for LLM Agents	retained	candidate_denominator	AGENT-REFLECTION	Retained for exact-v1 review under `AGENT-REFLECTION`: ‘Hypothesis-Driven Skill Optimization for LLM Agents’ states the scope ‘External skills can improve action-oriented LLM agents without changing model weights, but persistent skill updates are risky when they are distilled from sparse or noisy trajectories. ’. This may alter a durable state/data/control or evaluation/release contract; the exact mechanism and non-proof boundary remain Evidence-Gate work and are not inferred from the abstract.
