arxiv_id	source_family_id	title	status	reason	review	access	owner	disposition	audit
2606.00053	SF-2026-ARXIV-2606-00053	VLAMotor: Test-Guided Enhancement of Vision-Language-Action Models via Agent-BasedData Synthesis	pre_denominator_closure	`VLAMotor: Test-Guided Enhancement of Vision-Language-Action Models via Agent-BasedData Synthesis`：failure-guided VLA data synthesis remains a local embodied-training recipe; it does not reassign the physical controller, action schema, simulator identity or safety-release authority；因此作为 named false-positive 在分母前闭合。	identity_date_closed	accessible_metadata	MULTIMODAL-EMBODIED-VLA	Rejected — Below Candidate Denominator	false_positive_removed
2606.12435	SF-2026-ARXIV-2606-12435	Auditing Discriminatory Patterns in Mortgage Lending Through Association Rules and Fair Binning	pre_denominator_closure	Auditing Discriminatory Patterns in Mortgage Lending Through Association Rules and Fair Binning 的方法/主张是：Using 103,481 cleaned mortgage applications from the HMDA 2023 dataset (Chicago metropolitan area), we build a three-stage pipeline: (1) a PySpark data cleaning and binning pipeline that implements both standard equal-frequency binning and the epsilon-biased fair binning algorithm from Asudeh et al. 其摘要结果或目标为：However, K-Means clustering followed by a disparate impact audit flags 10 out of 45 cluster-group pairs, showing that Black applicants face significantly higher denial rates than White applicants even among financially similar groups. 排除边界：它优化特定预测/金融 workload；没有改变通用数据 lineage、在线调度或证据提交权；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2606.12436	SF-2026-ARXIV-2606-12436	Knowing the Rules Is Not Enough: Student Regulatory Awareness and Use of GenAI in Higher Education	pre_denominator_closure	Knowing the Rules Is Not Enough: Student Regulatory Awareness and Use of GenAI in Higher Education 的方法/主张是：Method: A survey with 151 undergraduate students in Business Information Systems and E-Government programs at the University of Applied Sciences and Arts Hannover (Germany) collected data on GenAI usage, tools used, awareness of institutional regulations, and perceived compliance. 其摘要结果或目标为：Results: Most students actively use GenAI tools, but over half are uncertain whether their usage complies with institutional regulations. 排除边界：该工作主要改变教育任务、课程或学习者评测，不重新分配通用 AI System 的状态与控制权；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2606.12437	SF-2026-ARXIV-2606-12437	Algorithmic Constitutionalism	pre_denominator_closure	"Algorithmic Constitutionalism 的方法/主张是：In response, we develop an alternative framework, which we term ""algorithmic constitutionalism."" Our approach rests on three pillars: (a) a layered architecture consisting of two levels of code: (i) an operative or object level and (ii) a meta level designed to protect the system's core principles from algorithmically initiated change; (b) algorithmic meta-reasoning, which enables the system to operate simultaneously at both levels so that it can monitor, verify, and potentially correct in real time operations at t 其摘要结果或目标为：The article concludes by considering the implications of this argument for the European Digital Services Act, which entered into force in October 2022. 排除边界：它属于 Agent 局部能力或应用方案；摘要尚未形成新的 authority、durable state、effect commit 或 failure-recovery contract；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。"	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2606.12438	SF-2026-ARXIV-2606-12438	From Real-World Projects to Research-Oriented Learning: Continuous Improvement of a Master-Level Course in Software Engineering Education	pre_denominator_closure	From Real-World Projects to Research-Oriented Learning: Continuous Improvement of a Master-Level Course in Software Engineering Education 的方法/主张是：Method: We conducted a longitudinal mixed-methods study of a master-level course in Information Systems at the University of Applied Sciences and Arts Hannover (Germany). 其摘要结果或目标为：Results: The course evolved from a practice-oriented project format toward a more explicitly research-oriented learning environment. 排除边界：该工作主要改变教育任务、课程或学习者评测，不重新分配通用 AI System 的状态与控制权；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2605.16735	SF-2026-ARXIV-2605-16735	Transformer-Based MCS Prediction for 5G Multicast-Broadcast Services (MBS)	pre_denominator_closure	Transformer-Based MCS Prediction for 5G Multicast-Broadcast Services (MBS) 的方法/主张是：To address this, we propose a lightweight Transformer-based framework that predicts the success probability of all 28 MCS indices over an upcoming video segment horizon. 其摘要结果或目标为：Experimental results show that our approach achieves a reliability score of 86.89%, significantly outperforming standard AI baselines optimized for raw throughput (31.65%) while maintaining a safe conservative bias. 排除边界：它增加任务/数据切片，但摘要未显示新的可复算 evaluation object、版本身份或部署 gate，故不进入长期系统分母；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2605.16736	SF-2026-ARXIV-2605-16736	CAB: Accelerating Flow and Diffusion Sampling via Rectification and Corrected Adams-Bashforth	pre_denominator_closure	CAB: Accelerating Flow and Diffusion Sampling via Rectification and Corrected Adams-Bashforth 的方法/主张是：We propose CAB (Corrected Adams-Bashforth), a training-free sampler that accelerates both flow and diffusion models. 其摘要结果或目标为：The official implementation is available at https://github.com/Anuska-Roy/CAB. 排除边界：它增加任务/数据切片，但摘要未显示新的可复算 evaluation object、版本身份或部署 gate，故不进入长期系统分母；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2605.16737	SF-2026-ARXIV-2605-16737	DriveSafer: End-to-End Autonomous Driving with Safety Guidance	pre_denominator_closure	DriveSafer: End-to-End Autonomous Driving with Safety Guidance 的方法/主张是：Towards this end, we propose DriveSafer, a failure-aware safety framework for end-to-end planners. 其摘要结果或目标为：We find that many such failures arise from violations of physical constraints and safety requirements, leading to unsafe behavior. 排除边界：它增加任务/数据切片，但摘要未显示新的可复算 evaluation object、版本身份或部署 gate，故不进入长期系统分母；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2605.16738	SF-2026-ARXIV-2605-16738	Sustainable Real-Time 8K60 HEVC Encoding for V2X: Repurposing Legacy NVENC Hardware at the Vehicular Edge	pre_denominator_closure	Sustainable Real-Time 8K60 HEVC Encoding for V2X: Repurposing Legacy NVENC Hardware at the Vehicular Edge 的方法/主张是：However, deploying modern hardware at the vehicular edge is frequently hindered by supply chain constraints, high power budgets, and growing e-waste concerns. 其摘要结果或目标为：We demonstrate that triggering 2-Way Split Frame Encoding (SFE) on dual-NVENC GP104 and GP102 silicon successfully unlocks real-time 8K60 throughput with a negligible Rate-Distortion penalty of under 1%. 排除边界：它增加任务/数据切片，但摘要未显示新的可复算 evaluation object、版本身份或部署 gate，故不进入长期系统分母；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
2605.16739	SF-2026-ARXIV-2605-16739	EmoMind: Decoding Affective Captions from Human Brain fMRI	pre_denominator_closure	EmoMind: Decoding Affective Captions from Human Brain fMRI 的方法/主张是：We present EmoMind, the first end-to-end pipeline for decoding affective captions directly from fMRI signals. 其摘要结果或目标为：These results establish continuous brain-decoded affect as a viable control signal for individualized affective caption generation and open new directions for studying individual affective brain organisation. 排除边界：该结论绑定医疗/脑科学/分子领域的数据定义与任务，不改变通用训练、推理或平台 owner；领域 deployment 仍需独立临床与治理合同；因此在 Candidate Denominator 前闭合，但保留 identity 供独立 false-negative audit 重开。	identity_date_closed	accessible_metadata		Rejected — Below Candidate Denominator	closure_reconfirmed
